"ARI" ""
"result.1" 0.979344451951811 5
"result.2" 0.928841105618251 5
"result.3" 0.964210883942528 5
"result.4" 0.949645326572353 5
"result.5" 0.971870971358693 5
"result.6" 0.976630892452144 5
"result.7" 0.9761892628317 5
"result.8" 0.937050896488452 5
"result.9" 0.969897230813216 5
"result.10" 0.975134653506334 5
"result.11" 0.975535293873643 5
"result.12" 0.967389775267878 5
"result.13" 0.827671011781779 4
"result.14" 0.967811315113991 5
"result.15" 0.974067321069427 5
"result.16" 0.959669218254093 5
"result.17" 0.98074145316634 5
"result.18" 0.958796716356326 5
"result.19" 0.95579422196903 5
"result.20" 0.943366549370344 5
"result.21" 0.977868253293638 5
"result.22" 0.975375390190876 5
"result.23" 0.977250470851541 5
"result.24" 0.967439754239029 5
"result.25" 0.971387774404097 5
"result.26" 0.970036418131273 5
"result.27" 0.976519025343408 5
"result.28" 0.959083614380905 5
"result.29" 0.970948510271395 5
"result.30" 0.969862970100079 5
"result.31" 0.982312273605829 5
"result.32" 0.968219753694805 5
"result.33" 0.977329298176798 5
"result.34" 0.946520449210064 5
"result.35" 0.970635994308567 5
"result.36" 0.978153955132601 5
"result.37" 0.976569360939026 5
"result.38" 0.925373126126345 5
"result.39" 0.972389239620767 5
"result.40" 0.970815079536825 5
"result.41" 0.954791476268681 5
"result.42" 0.932350361891306 5
"result.43" 0.98481512661585 5
"result.44" 0.97137409255273 5
"result.45" 0.944549464525806 4
"result.46" 0.941784894993823 5
"result.47" 0.982472755493689 5
"result.48" 0.929361643380954 5
"result.49" 0.952828065819178 5
"result.50" 0.975252278445385 5
