"ARI" "" "" "" ""
"result.1" 0.992090698015929 3 -8098406.27076557 -99082.8857505939 16557842.3409315
"result.2" 0.984386608516705 3 -8151601.39344039 -99154.0997242509 16664375.0142284
"result.3" 0.992095654471579 3 -8138438.47673292 -99243.0710520339 16638227.123469
"result.4" 0.980472039229261 3 -8136846.28649255 -98922.6281774695 16634401.8572392
"result.5" 0.985943227687404 3 -8132390.72543619 -99384.9063515355 16626415.2914746
"result.6" 0.983618139681972 3 -8129405.19173493 -98919.1928855119 16619512.79714
"result.7" 0.986262298038757 3 -8102403.14200271 -99114.6901581332 16565899.6922208
"result.8" 0.978406610803871 3 -8160490.68368744 -99252.7090160354 16682350.8133061
"result.9" 0.982328881552604 3 -8091190.62751771 -98794.0609541317 16542833.4048428
"result.10" 0.984223412331947 3 -8132945.19884239 -99115.0931359877 16626984.6118559
"result.11" 0.985031930865245 3 -8163686.53814542 -98876.5164099874 16687990.1370099
"result.12" 0.992497033762594 3 -8116197.8000293 -99105.3532635908 16593470.3344849
"result.13" 0.982512753654129 3 -8119644.62555217 -98983.7627212647 16600120.804446
"result.14" 0.973791930673555 3 -8143802.46970001 -98934.5407077391 16648338.0487146
"result.15" 0.990039910801058 3 -8123029.17374583 -99080.863450347 16607084.1022915
"result.16" 0.987651771460743 3 -8103573.53458104 -99196.2312630896 16568403.5595874
"result.17" 0.962298962358335 3 -8110586.40168604 -99005.8792813599 16582048.5898339
"result.18" 0.990542029974109 3 -8105591.43042457 -98979.4084756351 16572005.7056995
"result.19" 0.987017543744694 3 -8093833.82663752 -99086.9743402705 16548705.6298547
"result.20" 0.981228754847547 3 -8130524.82212974 -99050.9553570327 16622015.5828727
"result.21" 0.988147416513507 3 -8190915.66414769 -99251.0154152165 16743197.387025
"result.22" 0.966230161286376 3 -8140092.28897002 -99032.9892496705 16641114.5843385
"result.23" 0.982512753654129 3 -8125441.04655944 -98877.4685143388 16611501.0580467
"result.24" 0.984217076489153 3 -8109108.54000886 -99093.7488139759 16579268.6055448
"result.25" 0.988886412121624 3 -8101268.96847302 -99072.3400934747 16563546.6450321
"result.26" 0.984567964716326 3 -8120937.43182823 -99018.5636775227 16602776.0189106
"result.27" 0.994316881376707 3 -8093510.93109988 -99194.0055578269 16548273.9012145
"result.28" 0.986434267029121 3 -8075733.85284477 -99148.6373436098 16512629.0082759
"result.29" 0.986666912328325 3 -8130025.73841668 -98997.1666191847 16620909.8379709
"result.30" 0.984954772997924 3 -8091657.15178453 -98880.1424879517 16543938.6164441
"result.31" 0.988562549898174 3 -8148530.96543858 -99002.814801945 16657931.5883802
"result.32" 0.977503803153266 3 -8123140.06197571 -99022.9074052793 16607189.9666611
"result.33" 0.980153040291376 3 -8097813.74630525 -98859.0368403725 16556209.5941904
"result.34" 0.980440590391345 3 -8133672.78464894 -98719.9163770679 16627649.4299511
"result.35" 0.984562837042597 3 -8111509.76251167 -99052.8090600987 16583989.1710427
"result.36" 0.984054560628723 3 -8105995.06319426 -99071.7250306722 16572997.604349
"result.37" 0.979345479503454 3 -8147813.03478556 -98984.0930415186 16656458.2835533
"result.38" 0.986257823375379 3 -8113563.88845026 -98850.887987163 16587693.580774
"result.39" 0.974825804898107 3 -8095425.25293871 -99024.69478982 16551763.9233562
"result.40" 0.97840959685956 3 -8148389.34455897 -99093.2566260308 16657829.2302691
"result.41" 0.986274021406172 3 -8133747.86563164 -98669.7411632993 16627699.241489
"result.42" 0.986274021406172 3 -8174496.43411007 -99218.536236784 16710293.9685928
"result.43" 0.97228317604455 3 -8110694.69643911 -99024.8644910175 16582303.1497594
"result.44" 0.988721947108083 3 -8095202.78451154 -98967.2161610994 16551204.0292444
"result.45" 0.985131113468331 3 -8110398.59223973 -98924.0222548572 16581509.2568883
"result.46" 0.976758224265648 3 -8108723.27432095 -99133.1657395463 16578576.9080201
"result.47" 0.990440313526992 3 -8099164.76125439 -99035.9216963088 16559265.3938005
"result.48" 0.982167140403888 3 -8103028.8011065 -99142.2684380448 16567206.1669882
"result.49" 0.980131183275132 3 -8097660.23867652 -99159.1579145647 16556502.8210813
"result.50" 0.984376698409992 3 -8105736.53395026 -98876.1765443682 16572089.4488884
