"ARI" "" "" "" ""
"result.1" 0.990605386224478 3 -8098406.44471767 -99042.926415502 16557762.7701655
"result.2" 0.990205724547677 3 -8151619.91742094 -99170.9924116426 16664445.8475643
"result.3" 0.994144542287249 3 -8138438.33979097 -99271.3438447596 16638283.3951706
"result.4" 0.984780527423449 3 -8136846.24332307 -98900.7471980244 16634358.0089413
"result.5" 0.986098846532952 3 -8132390.99536117 -99281.4980056977 16626209.0146329
"result.6" 0.983752929828725 3 -8129405.30371109 -98823.6317437167 16619321.8988087
"result.7" 0.990200299391406 3 -8102403.21181901 -99193.0706542486 16566056.5928456
"result.8" 0.984209025693634 3 -8160490.87918449 -99322.8565218666 16682491.4993118
"result.9" 0.98257295547327 3 -8091190.53041007 -98683.2506110199 16542611.5899413
"result.10" 0.982341415272319 3 -8132945.35609108 -99184.8070405918 16627124.3541625
"result.11" 0.982990199320783 3 -8163686.79038234 -98758.2639246259 16687754.1365131
"result.12" 0.99307179349395 3 -8116198.14282614 -99069.0113605472 16593398.3362725
"result.13" 0.985141102795512 3 -8119644.83568028 -99048.9946512224 16600251.6885621
"result.14" 0.979556503549048 3 -8143802.69069201 -98939.029437227 16648347.4681576
"result.15" 0.988552322670065 3 -8123029.32660487 -99074.0214997936 16607070.7241085
"result.16" 0.987651771460743 3 -8103573.75983464 -99222.6491683748 16568456.8459052
"result.17" 0.982678072493512 3 -8110586.71266703 -99010.8924714357 16582059.2381761
"result.18" 0.99283341709834 3 -8105591.31505841 -99015.1908377475 16572077.0396914
"result.19" 0.982925606357586 3 -8093833.75667481 -99100.2253598456 16548731.9919684
"result.20" 0.984970106740826 3 -8130524.95328312 -99017.459276144 16621948.8530177
"result.21" 0.988314951958905 3 -8190915.53093541 -99272.6725725013 16743240.434915
"result.22" 0.968113933388262 3 -8140091.94408626 -99073.9641385071 16641195.8443487
"result.23" 0.984556403014289 3 -8125441.42095014 -98908.2658037397 16611563.4014069
"result.24" 0.988551991262431 3 -8109108.60228602 -99087.2587059923 16579255.7498832
"result.25" 0.992009673248423 3 -8101253.9791677 -98935.6473729365 16563243.2809804
"result.26" 0.986791528757112 3 -8120937.40091748 -99030.7000086754 16602800.2297514
"result.27" 0.994316881376707 3 -8093510.90367035 -99041.6877866569 16547969.2108131
"result.28" 0.986434267029121 3 -8075707.08307577 -99226.1696547155 16512730.5333601
"result.29" 0.986659661611287 3 -8130025.70018013 -99053.6800689373 16621022.7883973
"result.30" 0.986836961424928 3 -8091657.51589799 -98881.8302590632 16543942.7202132
"result.31" 0.988554654613593 3 -8148531.19924476 -99063.5416256023 16658053.5096399
"result.32" 0.978310359809845 3 -8123169.5738608 -98827.7579784014 16606858.6915775
"result.33" 0.983907837531669 3 -8097813.8967845 -98897.2227087987 16556286.2668857
"result.34" 0.984194359848352 3 -8133673.15859233 -98792.5285526837 16627795.4021892
"result.35" 0.99054834767947 3 -8111509.87600692 -98979.990867735 16583843.7616484
"result.36" 0.986260033036562 3 -8105995.17972502 -98992.3573528567 16572839.1020549
"result.37" 0.981223855655886 3 -8147813.22525746 -98952.3139525888 16656395.1063192
"result.38" 0.986257823375379 3 -8113563.29368226 -98864.120047099 16587718.8553578
"result.39" 0.976693329061032 3 -8095409.11493144 -99079.2629010062 16551840.783564
"result.40" 0.984215473162336 3 -8148344.14903481 -99042.1027342666 16657636.5314373
"result.41" 0.990603499474953 3 -8133747.42616887 -98650.3229462738 16627659.5261294
"result.42" 0.980653848997131 3 -8174496.47271065 -99254.5229595737 16710366.0192396
"result.43" 0.97228317604455 3 -8110694.57897653 -99006.9875452114 16582267.1609426
"result.44" 0.994388011660295 3 -8095202.81159202 -99034.896206377 16551339.4434959
"result.45" 0.981192854571113 3 -8110398.20601109 -98793.3801962478 16581247.2003138
"result.46" 0.973604321307853 3 -8108723.45145622 -99114.3322473597 16578539.5953063
"result.47" 0.990440313526992 3 -8099164.65590139 -99079.8632486978 16559353.0661993
"result.48" 0.980694562832257 3 -8103028.76816674 -99186.4152839428 16567294.3948005
"result.49" 0.984060374053247 3 -8097660.26227701 -99250.3265996498 16556685.2056525
"result.50" 0.984941627360898 3 -8105736.38251537 -98797.98563855 16571932.764207
