"ARI" "" "" "" ""
"result.1" 0.979344451951811 5 -8098372.89082223 -99236.4571211918 16558230.2789641
"result.2" 0.933502068697858 5 -8151622.2377763 -99255.5307360662 16664767.120102
"result.3" 0.964210883942528 5 -8138346.80350308 -99417.9367260797 16638541.0635356
"result.4" 0.957387680200158 5 -8136958.46301249 -99173.5611381157 16635275.6313785
"result.5" 0.971889399431784 5 -8132430.90298909 -99293.2242760892 16626459.8376077
"result.6" 0.976596190144049 5 -8129475.47300615 -99015.4071334321 16619993.3433565
"result.7" 0.9761892628317 5 -8102425.58287138 -99380.2781509056 16566623.3051219
"result.8" 0.948301243377313 5 -8160397.91608059 -99195.6921208729 16682198.7994802
"result.9" 0.968313343784731 5 -8091205.87522706 -98981.4977497512 16543386.3290309
"result.10" 0.965227840134183 5 -8132895.54162349 -99130.128394107 16627062.9231125
"result.11" 0.975535293873643 5 -8163746.50811718 -99084.0808327997 16688672.7609773
"result.12" 0.963850873687087 5 -8116177.72593227 -99073.0152921398 16593513.0655261
"result.13" 0.831304937095045 4 -8119435.79732205 -99498.6274499122 16600806.6550321
"result.14" 0.967811315113991 5 -8143768.04312751 -99216.6081977084 16648980.8857277
"result.15" 0.967846754208708 5 -8122999.85280067 -99247.6674829022 16607506.6236444
"result.16" 0.959669218254093 5 -8103582.90454175 -99122.0411632237 16568421.4744872
"result.17" 0.97421868998254 5 -8110549.93395365 -98880.775092109 16581873.0011688
"result.18" 0.963541427720248 5 -8105450.84923615 -99210.3253691725 16572333.9322879
"result.19" 0.954534564336237 5 -8093888.31339369 -99267.7005348801 16549323.6109344
"result.20" 0.945237728515024 5 -8130454.30959092 -99112.4195542728 16622145.0413677
"result.21" 0.975870493437667 5 -8190922.85420606 -99545.5786763013 16743948.448842
"result.22" 0.977029625600584 5 -8140087.29733332 -99242.8607219527 16641671.8991878
"result.23" 0.977250470851541 5 -8125449.99320314 -98893.7501599054 16611699.0698034
"result.24" 0.965813240805466 5 -8109139.36866068 -99011.8750184185 16579314.0704355
"result.25" 0.971387774404097 5 -8101146.49885923 -98951.807016596 16563208.1948289
"result.26" 0.970826894626469 5 -8120963.10536662 -99162.1857436954 16603262.1652979
"result.27" 0.976519025343408 5 -8093418.75524669 -99084.5777296291 16548018.2490299
"result.28" 0.960613590754924 5 -8075737.17117703 -99413.692169539 16513313.3097704
"result.29" 0.968914902868996 5 -8129976.47185361 -99196.2262090336 16621356.9792026
"result.30" 0.969862970100079 5 -8091543.35548714 -99130.0942134959 16544358.4824786
"result.31" 0.970866669036557 5 -8148589.86067051 -99130.4754605189 16658452.2553393
"result.32" 0.96666302431901 5 -8123166.17128103 -99006.3209422365 16607356.5675238
"result.33" 0.977329298176798 5 -8097759.95419349 -98992.7325650478 16556516.9565944
"result.34" 0.95906356901738 5 -8133680.50227357 -98894.2619176879 16628161.1114598
"result.35" 0.969626147376162 5 -8111535.55831522 -99063.6632065278 16584210.0261208
"result.36" 0.978153955132601 5 -8106045.68207558 -99248.1614553437 16573599.2701391
"result.37" 0.976569360939026 5 -8147816.40516141 -99039.7425873369 16656723.8785748
"result.38" 0.917273426846951 5 -8113442.79592645 -99012.6273397218 16587922.4296096
"result.39" 0.974185537251346 5 -8095342.61950645 -99125.9113730063 16551948.6448362
"result.40" 0.966765226557781 5 -8148289.79851346 -99399.8996207496 16658390.9793457
"result.41" 0.954791476268681 5 -8133660.52416767 -98732.9469632681 16627798.5253392
"result.42" 0.943516285713309 5 -8174425.39973256 -99276.8642611253 16710416.1110647
"result.43" 0.983003311239792 5 -8110649.41167757 -99161.0254028422 16582632.4572381
"result.44" 0.975805526969203 5 -8095239.14719747 -99178.2961835673 16551846.4698394
"result.45" 0.946157056415596 4 -8110282.90864916 -99386.9060219003 16582277.4348303
"result.46" 0.949721025659061 5 -8108770.13132752 -99178.5552403003 16578908.9562129
"result.47" 0.984062060227869 5 -8099112.56901161 -99120.9890288072 16559478.6991581
"result.48" 0.927844933974858 5 -8102985.41650102 -99580.9160931167 16568144.2482656
"result.49" 0.954799304039632 5 -8097661.49713566 -99283.728018211 16556902.033385
"result.50" 0.977270729998916 5 -8105883.27421715 -98976.6142465012 16572731.3600046
