"ARI" "" "" "" "" "" ""
"result.1" 0.985952441273937 0.970046501309234 0.970158669630911 5 -8098381.4068804 -99197.4647395483 16558169.3263172
"result.2" 0.982924588730356 0.969461941663058 0.969576309912632 5 -8151601.17298585 -99318.1971142659 16664850.3232775
"result.3" 0.987814310644951 0.97692949135832 0.977015886163363 5 -8138315.86021303 -99439.7743157929 16638522.8521349
"result.4" 0.981748375100772 0.964047563429928 0.964182224136875 5 -8136957.69583381 -99176.843612397 16635280.6619697
"result.5" 0.987953073343677 0.975272162036496 0.975364755917088 5 -8132418.03254664 -99383.9483035645 16626615.5447777
"result.6" 0.986883189772281 0.97660782559979 0.976695408007585 5 -8129481.06533116 -99029.5693758185 16620032.8524913
"result.7" 0.989777827382746 0.980737188690846 0.980809322154385 5 -8102426.30218442 -99286.3210471374 16566436.8295404
"result.8" 0.984484958445284 0.971784773921872 0.9718904414927 5 -8160393.28578083 -99533.5525902969 16682865.2598195
"result.9" 0.985600817765668 0.976023626097152 0.97611340373921 5 -8091206.25812584 -99003.581518675 16543431.2623663
"result.10" 0.983211687499174 0.969539103953975 0.969653191036384 5 -8132885.91245017 -99337.6053484722 16627458.6186746
"result.11" 0.985664962432206 0.973629582904959 0.973728330934322 5 -8163745.31191736 -99083.0311284324 16688668.2691689
"result.12" 0.979362168850642 0.960752939376371 0.960899931561205 5 -8116180.12678158 -99196.5549903133 16593764.9466211
"result.13" 0.985732881585902 0.975508369312252 0.975600077626547 5 -8119615.74420223 -99095.3107291088 16600433.69294
"result.14" 0.986662225501058 0.972373610268343 0.97247705724167 5 -8143761.60624604 -99322.0685129757 16649178.9325953
"result.15" 0.990290878414303 0.9793020562199 0.979379559128396 5 -8122991.32582842 -99294.260705396 16607582.7561449
"result.16" 0.981898213460684 0.96693684657729 0.967060664996471 5 -8103570.9856317 -99094.9157944352 16568343.3859296
"result.17" 0.98904097583026 0.977372536371771 0.977457277391758 5 -8110573.86146202 -99067.1476535293 16582293.6013084
"result.18" 0.989410377587605 0.978205633866774 0.978287246674071 5 -8105499.52769757 -99040.2353460425 16572091.1091645
"result.19" 0.989131315528176 0.978856627779925 0.978935808931554 5 -8093880.37799636 -99291.4383746754 16549355.2158194
"result.20" 0.987157299015663 0.97460469839466 0.974699795001162 5 -8130435.49770846 -99201.8568725421 16622286.2922393
"result.21" 0.979106845662795 0.959352860428327 0.959505097002375 5 -8190922.15999005 -99402.4232701848 16743660.7495978
"result.22" 0.978621950784025 0.963499707789403 0.963636405416252 5 -8140078.5482856 -99165.3466467524 16641499.372942
"result.23" 0.986883078254444 0.974987055907275 0.975080718850037 5 -8125485.79435816 -98915.5971368027 16611814.3660672
"result.24" 0.983798065968418 0.973559622336925 0.973658631626018 5 -8109153.77084968 -99139.092462003 16579597.3097007
"result.25" 0.987749316353912 0.97552793442918 0.975619576503301 5 -8101140.37506696 -99102.5049506506 16563497.3431125
"result.26" 0.982819691344439 0.969104719217216 0.969220431516785 5 -8120970.97920539 -99153.1365766945 16603259.8146415
"result.27" 0.989635376129073 0.978388638015797 0.978469561168749 5 -8093405.18361528 -99149.4931622033 16548120.9366323
"result.28" 0.990723216924946 0.981337271893736 0.981407157029537 5 -8075746.31208788 -99413.6291574995 16513331.4655681
"result.29" 0.985362417505577 0.969156178047903 0.96927169701858 5 -8129982.55820965 -99173.8255122282 16621324.350521
"result.30" 0.987108226670055 0.972948272303276 0.973049581268621 5 -8091535.84386442 -99018.6922290694 16544120.6552643
"result.31" 0.989040174551048 0.977512433756703 0.977596639852266 5 -8148566.42623718 -99434.1069466602 16659012.649445
"result.32" 0.979597993337743 0.961309733878462 0.961454650860277 5 -8123155.91471429 -98983.2528147042 16607289.9181353
"result.33" 0.995700449324203 0.988493276781659 0.988536359682918 5 -8097755.77609488 -99176.0339534354 16556875.2031739
"result.34" 0.986386778378009 0.972915970285373 0.973017409256234 5 -8133683.24100847 -99026.7445792595 16628431.5542528
"result.35" 0.977620859810714 0.957198491571992 0.957358822507296 5 -8111486.69005504 -99142.7942532098 16584270.5516938
"result.36" 0.986749955571178 0.975670633785407 0.975761746678022 5 -8106054.26135246 -99269.5036638404 16573659.1131099
"result.37" 0.988114790818374 0.978031420728457 0.978113685907252 5 -8147778.37323811 -99174.7214240436 16656917.7724016
"result.38" 0.984941883051951 0.973190688389354 0.973291100376004 5 -8113428.43991633 -98967.9796739855 16587804.4222579
"result.39" 0.991071272218378 0.980623138488542 0.980695696394789 5 -8095344.81600437 -99165.7784624725 16552032.772011
"result.40" 0.982265461856804 0.966446208655217 0.966571884466596 5 -8148281.92240227 -99275.7653303327 16658126.9585425
"result.41" 0.980349530262245 0.965669108399497 0.965797682405297 5 -8133659.59808772 -98756.0686891506 16627842.916631
"result.42" 0.973346267141218 0.948873449058061 0.949064966271291 5 -8174439.9682631 -99322.1760717194 16710535.8717469
"result.43" 0.994043556208797 0.986777623935551 0.986827136929665 5 -8110662.47217547 -99282.78311418 16582902.0936566
"result.44" 0.983986139339758 0.969493818858008 0.969608075871674 5 -8095241.99546772 -99171.0177832412 16551837.6095792
"result.45" 0.988394841865152 0.97711665289037 0.97720234376102 5 -8110460.58000696 -98956.4997571736 16581845.7426056
"result.46" 0.962173971826187 0.938834651293063 0.939063819265757 5 -8108770.77172565 -99261.0536803137 16579075.2338892
"result.47" 0.989835247991114 0.978117529562324 0.978199468436967 5 -8099109.81652005 -99308.761775753 16559848.7396689
"result.48" 0.964709816580251 0.942240394123959 0.942456776029965 5 -8102966.69375748 -99388.2936545435 16567721.5579013
"result.49" 0.984941439426777 0.972618829743599 0.972721377222855 5 -8097667.13262092 -99480.8616617052 16557307.5716425
"result.50" 0.989406305069635 0.980057759581444 0.980132433555881 5 -8105879.43723773 -99015.0473530104 16572800.5522588
